"id","user_id","ratable_id","ratable_type","rating","created_at","updated_at","comment"
"226","561","24744","Product","5","2014-01-01 19:37:09","2014-01-01 19:37:09","Haven't used this, yet. I'm new to ghee, but the price was right in Lazy Acres, and it says, ""pasture fed"". "
"227","629","20434","Product","5","2014-01-01 23:46:24","2014-01-01 23:46:24","Me too!"
"228","358","18185","Product","5","2014-01-02 03:14:02","2014-01-02 03:14:02","This cream is excellent every time! A great tasting food for rich treats and a healing food to help master sugar cravings."
"229","358","19129","Product","3","2014-01-02 03:22:10","2014-01-02 03:22:10",NULL
"230","635","23842","Product","3","2014-01-02 04:22:23","2014-01-02 04:22:23","Really wanted to like this but it tastes like rubber. Hopefully they can develop a better version. "
"231","635","18184","Product","5","2014-01-02 04:24:18","2014-01-02 04:24:18","Excellent product. Love that it comes from Jersey cows. We go through four bottles a week. "
"232","635","23846","Product","5","2014-01-02 04:24:52","2014-01-02 04:24:52",NULL
"233","635","25268","Product","5","2014-01-02 04:25:19","2014-01-02 04:25:19",NULL
"234","635","19129","Product","5","2014-01-02 04:32:06","2014-01-02 04:32:06",NULL
"235","652","27490","Product","5","2014-01-03 01:41:59","2014-01-03 01:41:59","Love that it's so convent and I can purchase at Costco!!  Makes me not feel bad for not having the time to soak my rice!"
"236","621","18184","Product","5","2014-01-03 02:19:29","2014-01-03 02:19:29","Best raw milk I have found. Very smooth and my kids love it"
"237","659","23840","Product","5","2014-01-03 04:03:21","2014-01-03 04:03:21","Delish! Great milk!
"
"238","659","26371","Product","4","2014-01-03 04:05:29","2014-01-03 04:05:29","Next best thing after raw milk!
"
"239","198","22420","Product","4","2014-01-03 18:30:50","2014-01-03 18:30:50","Great! But a tad too spicy for my little one"
"240","513","18184","Product","5","2014-01-04 02:31:58","2014-01-04 02:31:58",NULL
"241","561","23912","Product","5","2014-01-05 16:35:19","2014-01-05 16:35:19","I buy lots of this during the season and freeze it. "
"242","561","23890","Product","5","2014-01-05 16:36:28","2014-01-05 16:36:28","The Navy Commissary has started carrying this. I buy it when they're not out of stock. "
"243","726","21139","Product","5","2014-01-07 02:59:49","2014-01-07 02:59:49",NULL
"244","726","21140","Product","5","2014-01-07 03:00:29","2014-01-07 03:00:29",NULL
"245","757","24719","Product","5","2014-01-09 02:45:20","2014-01-09 02:45:20","This ghee is delicious!"
"246","757","21176","Product","5","2014-01-09 02:46:20","2014-01-09 02:46:20",NULL
"247","757","20412","Product","5","2014-01-09 04:08:11","2014-01-09 04:08:11","I use fermented cod liver oil with butter oil - unflavored.  My dd (4 y.o.) and I both take it!!"
"248","757","27688","Product","5","2014-01-09 04:09:23","2014-01-09 04:09:23","Love it!!!"
"249","757","16845","Product","5","2014-01-09 04:10:27","2014-01-09 04:10:27","We love this salami in our home!"
"250","757","17711","Product","5","2014-01-09 04:11:07","2014-01-09 04:11:07",NULL
"251","561","19028","Product","5","2014-01-09 13:26:50","2014-01-09 13:26:50","I like these, and of Weston price says they're good, that's enough for me. The yolks are nice and dark and tasty. They say that they feed them things like marigolds. I hope that's true. "
"252","831","19182","Product","5","2014-01-14 14:05:37","2014-01-14 14:05:37",NULL
"253","107","21176","Product","5","2014-01-14 16:39:25","2014-01-14 16:39:25",NULL
"254","107","27407","Product","5","2014-01-14 16:40:25","2014-01-14 16:40:25",NULL
"255","107","17700","Product","5","2014-01-14 16:43:29","2014-01-14 16:43:29","I use this for so many things (smoothies, dips, as a sub for sour cream, on top of soups) since it's hard to find raw milk products where I live. "
"256","107","28648","Product","5","2014-01-14 16:44:36","2014-01-14 16:44:36",NULL
"257","107","16845","Product","4","2014-01-14 16:45:12","2014-01-14 16:45:12",NULL
"258","107","17988","Product","5","2014-01-14 16:46:28","2014-01-14 16:46:28",NULL
"259","2","21452","Product","5","2014-01-15 20:44:07","2014-01-15 20:44:07",NULL
"260","61","19048","Product","5","2014-01-16 03:17:06","2014-01-16 03:17:06","Excellent. Long fermentation thus high probiotic content is evident by the highly sour flavor. I love it
"
"261","880","27407","Product","5","2014-01-17 02:11:54","2014-01-17 02:11:54",NULL
"262","880","27395","Product","5","2014-01-17 02:12:50","2014-01-17 02:12:50",NULL
"263","884","17637","Product","5","2014-01-17 11:48:51","2014-01-17 11:48:51",NULL
"264","883","20443","Product","5","2014-01-17 16:30:25","2014-01-17 16:30:25","Delicious!"
"265","10","17564","Product","5","2014-01-19 14:44:33","2014-01-19 14:44:33","Love this fermented beverage! I discovered it cuts my appetite and helps me digest better. Slightly sour fizzy taste is incredible. Kombucha tends to raise my blood sugar but this drink does not!"
"266","924","20425","Product","4","2014-01-21 05:00:31","2014-01-21 05:00:31","Great product other then the inconsistent carbonation. Too many of my bottles lately have been ""flat."""
"267","929","25831","Product","5","2014-01-21 18:46:03","2014-01-21 18:46:03","Low temp pasteurized, this is about as good as it gets in stores (in the Midwest). Their cream is very good."
"268","2","17416","Product","4","2014-01-23 21:09:07","2014-01-23 21:09:07","Pretty good cheese"
"269","969","20412","Product","5","2014-01-25 13:57:36","2014-01-25 13:57:36","The mint is strong but it mostly covers up the fish taste and two teaspoons a day, with breakfast and dinner, have more omega 3 and D vitamin than other brands 
where you have to take two or three tablespoons to get the dosage for my gender/age/size. Also has good D to A vitamin ratio so you know they're not putting in synthetic A vitamins. "
"270","834","20413","Product","5","2014-01-26 11:56:25","2014-01-26 11:56:25","Good option with or instead of cod liver oil."
"271","834","20412","Product","5","2014-01-26 11:58:10","2014-01-26 11:58:10","Green Pasture is one of the only, maybe the only, brands of CLO with taking. Most of the others remove the naturally occurring vitamins A and D and replace them with synthetics so as to standardize the dosage.
"
"272","834","18846","Product","5","2014-01-26 11:58:48","2014-01-26 11:58:48","Dr Ron sells Green Pasture--great stuff."
"273","834","24718","Product","5","2014-01-26 12:00:20","2014-01-26 12:00:20","Very high quality ghee!"
"274","834","24720","Product","5","2014-01-26 12:01:11","2014-01-26 12:01:11","Love their spiced ghees, especially the Niter Kibbeh with the Indian spices."
"275","834","24736","Product","5","2014-01-26 12:01:36","2014-01-26 12:01:36","Great ghee."
"276","834","27336","Product","5","2014-01-26 12:03:21","2014-01-26 12:03:21","I mix a variety of the sprouted flours for pancakes. Good stuff."
"277","834","27348","Product","5","2014-01-26 12:04:27","2014-01-26 12:04:27","Great flour, next best to grinding and sprouting your own."
"278","834","27345","Product","5","2014-01-26 12:05:18","2014-01-26 12:05:18","I mix this and several of their other sprouted flours for pancakes."
"279","834","17988","Product","5","2014-01-26 12:06:33","2014-01-26 12:06:33","Excellent US olive oil! Quality you can count on."
"280","834","28514","Product","5","2014-01-26 12:07:31","2014-01-26 12:07:31","Very tasty!"
"281","834","28515","Product","5","2014-01-26 12:07:56","2014-01-26 12:07:56",NULL
"282","834","28513","Product","5","2014-01-26 12:08:11","2014-01-26 12:08:11","Great combination"
"283","834","28511","Product","5","2014-01-26 12:09:17","2014-01-26 12:09:17","Wonderfully reminiscent of root beer. I do wish I could get this locally or shipped to me! Have only had it at the WAPF conference."
"284","834","28512","Product","5","2014-01-26 12:09:35","2014-01-26 12:09:35","Love this"
